Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Mildura Family Day Care,State/Territory and Local Government managed,3500,MILDURA,fdcinfo@mildura.vic.gov.au,350188271,,76-84 Deakin Avenue MILDURA 3500 VIC,"(-34.1863128, 142.1617641)"
Alexandra & District Kindergarten,Private not for profit community managed,3714,ALEXANDRA,alexandra.kin@kindergarten.vic.gov.au,357721387,Meeting NQS,15 Bayley Street ALEXANDRA 3714 VIC,"(-37.1922518, 145.7086579)"
Alexandra Baby Care,Private for profit,3714,ALEXANDRA,alexandrababycare@bigpond.com,357722155,Meeting NQS,13 Coster Street ALEXANDRA 3714 VIC,"(-37.193338, 145.707901)"
Altona Kindergarten,Private not for profit community managed,3018,ALTONA,altona@ecms.org.au,393982839,Exceeding NQS,89 Blyth Street ALTONA 3018 VIC,"(-37.8677191, 144.8257971)"
Somers Parade Kindergarten,Private not for profit community managed,3018,ALTONA,somersparade@ecms.org.au,393981526,Exceeding NQS,4 Somers Parade ALTONA 3018 VIC,"(-37.8709095, 144.8104263)"
Seaholme Kindergarten,Private not for profit community managed,3018,SEAHOLME,seaholme@ecms.org.au,393981216,Working Towards NQS,2 Parkside Crescent SEAHOLME 3018 VIC,"(-37.8657149, 144.844204)"
Altona Meadows Kindergarten,Private not for profit community managed,3028,ALTONA MEADOWS,altona.meadows.kin@kindergarten.vic.gov.au,393693346,Meeting NQS,65-71 Powlett Street ALTONA MEADOWS 3028 VIC,"(-37.870712, 144.781281)"
Russell Court Kindergarten and Childrens' Centre Inc,Private not for profit community managed,3028,ALTONA MEADOWS,admin@russellcourt.org.au,03 9315 6932,Meeting NQS,10 Russell Court ALTONA MEADOWS 3028 VIC,"(-37.88189879999999, 144.7820201)"
One Tree Altona Meadows Children's Service,Private not for profit other organisations,3028,ALTONA MEADOWS,information@onetree.org.au,03 93608158,Meeting NQS,342 Queen Street ALTONA MEADOWS 3028 VIC,"(-37.872915, 144.782648)"
One Tree Altona North Children's Service,Private not for profit other organisations,3025,ALTONA NORTH,information@onetree.org.au,393980772,Exceeding NQS,10 Fifth Avenue ALTONA NORTH 3025 VIC,"(-37.8427144, 144.8496098)"
Natimuk Preschool,Private not for profit community managed,3409,NATIMUK,natimuk.kin@kindergarten.vic.gov.au,03 5387 1246,Working Towards NQS,2 Regent Street NATIMUK 3409 VIC,"(-36.7389747, 141.9507405)"
Jack & Jill Kindergarten,Private not for profit community managed,3377,ARARAT,ararat.jack.jill.kin@kindergarten.vic.gov.au,353522673,Meeting NQS,19 Robson Lane ARARAT 3377 VIC,"(-37.2801328, 142.9227431)"
St Andrews Kindergarten,Private not for profit community managed,3377,ARARAT,st.andrews.ararat.kin@kindergarten.vic.gov.au,353522621,Working Towards NQS,275 Barkly Street ARARAT 3377 VIC,"(-37.2835914, 142.9375151)"
Willaura & District Kindergarten,Private not for profit community managed,3379,WILLAURA,willaura.kin@kindergarten.vic.gov.au,343111589,Working Towards NQS,91 Main Street WILLAURA 3379 VIC,"(-37.5448659, 142.7431319)"
East Sale Kindergarten,Private not for profit community managed,3852,SALE EAST,eastsale.els@vt.uniting.org,351466723,Exceeding NQS,Heart Road RAAF Base SALE EAST 3852 VIC,"(-38.1054893, 147.1233541)"
Stratford Kindergarten,Private not for profit community managed,3862,STRATFORD,stratford.els@vt.uniting.org,351456446,Exceeding NQS,15 Dixon Street STRATFORD 3862 VIC,"(-37.967064, 147.0807668)"
Young Street Kindergarten,Private not for profit community managed,3340,BACCHUS MARSH,youngstreet@ecms.org.au,353672443,Meeting NQS,23 Young St BACCHUS MARSH 3340 VIC,"(-37.6739914, 144.4408554)"
Bacchus Marsh Montessori Preschool,Private not for profit community managed,3340,BACCHUS MARSH,bacchusmarsh.els@vt.uniting.org,353677706,Meeting NQS,176 Gisborne Road BACCHUS MARSH 3340 VIC,"(-37.6582351, 144.4445586)"
Bacchus Marsh Child Care & Kindergarten Centre,Private for profit,3340,BACCHUS MARSH,bmckc@bigpond.com,353673936,Meeting NQS,6 Clifton Drive BACCHUS MARSH 3340 VIC,"(-37.665169, 144.4361308)"
Pentland Childcare & Kindergarten Centre,Private for profit,3340,BACCHUS MARSH,pcckc1@bigpond.com,03 5367 5248,Working Towards NQS,138-140 Halletts Way BACCHUS MARSH 3340 VIC,"(-37.6569173, 144.4245988)"
Bairnsdale Kindergarten,Private not for profit community managed,3875,BAIRNSDALE,bairnsdale.kin@kindergarten.vic.gov.au,03 5152 3151,Working Towards NQS,37 Turnbull Street BAIRNSDALE 3875 VIC,"(-37.82253, 147.6193367)"
