Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-40010755,Mildura Family Day Care,PR-00001671,Mildura Rural City Council,State/Territory and Local Government managed,NSW,Family Day Care,2017/12/7,76-84 Deakin Avenue,,MILDURA,3500,VIC,fdcinfo@mildura.vic.gov.au,350188271,PO Box 105,MILDURA,
SE-00002613,Alexandra & District Kindergarten,PR-00001304,Alexandra and District Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,15 Bayley Street,,ALEXANDRA,3714,VIC,alexandra.kin@kindergarten.vic.gov.au,357721387,PO Box 52,ALEXANDRA,Meeting NQS
SE-00002614,Alexandra Baby Care,PR-00001754,Debra Joy Douglas,Private for profit,VIC,Centre-Based Care,2012/1/1,13 Coster Street,,ALEXANDRA,3714,VIC,alexandrababycare@bigpond.com,357722155,13 Coster St,ALEXANDRA,Meeting NQS
SE-00002615,Altona Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,89 Blyth Street,,ALTONA,3018,VIC,altona@ecms.org.au,393982839,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00002620,Somers Parade Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,4 Somers Parade,,ALTONA,3018,VIC,somersparade@ecms.org.au,393981526,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00002621,Seaholme Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Parkside Crescent,,SEAHOLME,3018,VIC,seaholme@ecms.org.au,393981216,PO Box 182,NORTHCOTE,Working Towards NQS
SE-00002622,Altona Meadows Kindergarten,PR-00002164,Altona Meadows Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,65-71 Powlett Street,,ALTONA MEADOWS,3028,VIC,altona.meadows.kin@kindergarten.vic.gov.au,393693346,65 Powlett Street,ALTONA MEADOWS,Meeting NQS
SE-00002623,Russell Court Kindergarten and Childrens' Centre Inc,PR-00002276,Russell Court Kindergarten and Childrens' Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,10 Russell Court,,ALTONA MEADOWS,3028,VIC,admin@russellcourt.org.au,03 9315 6932,10 Russell Court,ALTONA MEADOWS,Meeting NQS
SE-00002624,One Tree Altona Meadows Children's Service,PR-00007250,One Tree Community Services Inc,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,342 Queen Street,,ALTONA MEADOWS,3028,VIC,information@onetree.org.au,03 93608158,PO Box 3074,BELMONT EAST,Meeting NQS
SE-00002625,One Tree Altona North Children's Service,PR-00007250,One Tree Community Services Inc,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,10 Fifth Avenue,,ALTONA NORTH,3025,VIC,information@onetree.org.au,393980772,PO Box 3074,BELMONT EAST,Exceeding NQS
SE-00002626,Natimuk Preschool,PR-00002240,Horsham & District Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Regent Street,,NATIMUK,3409,VIC,natimuk.kin@kindergarten.vic.gov.au,03 5387 1246,PO Box 1326,HORSHAM,Working Towards NQS
SE-00002627,Jack & Jill Kindergarten,PR-00002502,Young Mens Christian Association Of Ballarat Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,19 Robson Lane,,ARARAT,3377,VIC,ararat.jack.jill.kin@kindergarten.vic.gov.au,353522673,PO Box 321,BALLARAT,Meeting NQS
SE-00002628,St Andrews Kindergarten,PR-00002502,Young Mens Christian Association Of Ballarat Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,275 Barkly Street,,ARARAT,3377,VIC,st.andrews.ararat.kin@kindergarten.vic.gov.au,353522621,PO Box 321,BALLARAT,Working Towards NQS
SE-00002630,Willaura & District Kindergarten,PR-00002502,Young Mens Christian Association Of Ballarat Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,91 Main Street,,WILLAURA,3379,VIC,willaura.kin@kindergarten.vic.gov.au,343111589,PO Box 321,BALLARAT,Working Towards NQS
SE-00002632,East Sale Kindergarten,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Heart Road RAAF Base,,SALE EAST,3852,VIC,eastsale.els@vt.uniting.org,351466723,L 8  505 Little Collins St,MELBOURNE,Exceeding NQS
SE-00002633,Stratford Kindergarten,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,15 Dixon Street,,STRATFORD,3862,VIC,stratford.els@vt.uniting.org,351456446,L 8  505 Little Collins St,MELBOURNE,Exceeding NQS
SE-00002634,Young Street Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,23 Young St,,BACCHUS MARSH,3340,VIC,youngstreet@ecms.org.au,353672443,PO Box 182,NORTHCOTE,Meeting NQS
SE-00002635,Bacchus Marsh Montessori Preschool,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,176 Gisborne Road,,BACCHUS MARSH,3340,VIC,bacchusmarsh.els@vt.uniting.org,353677706,L 8  505 Little Collins St,MELBOURNE,Meeting NQS
SE-00002636,Bacchus Marsh Child Care & Kindergarten Centre,PR-00002203,Northwest Family Services Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,6 Clifton Drive,,BACCHUS MARSH,3340,VIC,bmckc@bigpond.com,353673936,4 Laguna Cl,KEILOR LODGE,Meeting NQS
SE-00002637,Pentland Childcare & Kindergarten Centre,PR-00002163,Pentland Child Care & Kindergarten Centre Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,138-140 Halletts Way,,BACCHUS MARSH,3340,VIC,pcckc1@bigpond.com,03 5367 5248,PO Box 121,BACCHUS MARSH,Working Towards NQS
SE-00002638,Bairnsdale Kindergarten,PR-00001332,Bairnsdale Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,37 Turnbull Street,,BAIRNSDALE,3875,VIC,bairnsdale.kin@kindergarten.vic.gov.au,03 5152 3151,PO Box 346,BAIRNSDALE,Working Towards NQS
SE-00002639,Westdale Kindergarten,PR-00001914,Westdale Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,99 Wallace Street,,BAIRNSDALE,3875,VIC,westdale.kin@kindergarten.vic.gov.au,03 5152 3897,PO Box 549,BAIRNSDALE,Working Towards NQS
